Name| 1butanol| 2-butanol| 2methylpropan1ol| 2propanol| acetate| AdditionalGrowthRequierments| author| butanol| carbonMonoxide| cellShape| creator| creatorMail| cyclopentanol| descriptionEnv| dimethylamin| dimethylSulfide| ethanol| formate| gramReaction| GrowthDoublingTime| GrowthRate| h2Andco2| h2andmethanol| intestinalTracksEnv| link| maximalGrowthTemperature| maximumcellGcContent| maximumcellLength| maximumcellWidth| maximumGrowthNACL| maximumGrowthPH| methanol| methylamin| minimalGrowthTemperature| minimumcellGcContent| minimumcellLength| minimumcellWidth| minimumGrowthNACL| minimumGrowthPH| MinimumGrowthRequierments| nomenclaturalPublication| numberPublications| optimalGrowthNACLMaximal| optimalGrowthNACLMinimal| optimalGrowthPHMaximal| optimalGrowthPHMinimal| optimalGrowthTemperatureMaximal| optimalGrowthTemperatureMinimal| otherATTCStrainNumbers| otherCollections| otherDSMStrainNumbers| otherEnv| otherSubstrate| pmidPublication| propanol| propionate| reactorsEnv| soilEnv| trimethylamin| typeStrain| volcanicEnv| waterEnv| 
Methanoculleus horonobensis| not determined| do not feed on| not determined| do not feed on| do not feed on| yeast extract, CoM, acetate| S. Shimizu et al.; 2013; Int. J. Syst. Evol. Microbiol.; vol. 63; p. 4320| do not feed on| not determined| Irregular cocci| negative| yes| do not feed on| The groundwater sample collected from the Wakkanai formation, a Miocene diatomaceous shale in northernmost Japan.| do not feed on| not determined| not determined| feeds| negative| 6.93| 0.1| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/63/Pt_11/4320.abstract| 45| present| 1.6| 1.6| 1.3| 8.2| do not feed on| do not feed on| 25| 62.9| 0.7| 0.7| 0| 5.8| no data| no data| no| 0.2| 0.1| 6.8| 6.7| 42| 37| JCM 15517| JCM 15517| DSM 21626| no data| no data| S. Shimizu et al.| not determined| not determined| not applicable| yes| do not feed on| T10| not applicable| not applicable| 
Methanoculleus hydrogenitrophicus| not determined| do not feed on| not determined| do not feed on| do not feed on| yeast extract| J. Tian et al.; Int. J. Syst. Evol. Microbiol.; vol. 60; p. 2165| do not feed on| not determined| Irregular cocci| negative| yes| not determined| Sample from the Zoige wetland, China.| not determined| not determined| do not feed on| do not feed on| negative| 22.355| 0.031| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/60/9/2165.abstract| 45| absent| 2| 2| 0.07| 8.5| do not feed on| not determined| 18| 60.2| 0.8| 0.8| 0.01| 5| no data| no data| no| 0.03| 0.03| 6.6| 6.6| 37| 37| CGMCC 1.5146, JCM 16311| CGMCC 1.5146, JCM 16311| DSM-25996| no data| no data| J. Tian et al.| not determined| not determined| not applicable| yes| do not feed on| HC| not applicable| not applicable| 
Methanoculleus marisnigri| no data| no data| no data| no data| do not feed on| no data| J. Romesser et al.; 1979; Arch. Microbiol.; vol. 121; p. 147| no data| no data| Irregular cocci| negative| yes| no data| Sediment collected at station 1355 on R. V, Chain cruise 120/1 in the Black Sea.| no data| no data| no data| feeds| negative| 10| 0.069| feeds| not determined| not applicable| http://link.springer.com/article/10.1007%2FBF00689979| 48| present| 1.3| 1.3| 0.69| 7.6| do not feed on| no data| 15| 61.2| 1.3| 1.3| 0| 6| tripticase| H. Zabel et al.;  1984; Arch. Microbiol.; vol. 37; p. 308| no| 0| 0| 6.6| 6.2| 25| 20| ATCC 35101, OCM 56, OGC 56| ATCC 35101, OCM 56, OGC 56| DSM-1498| no data| no data| J. Romesser et al.| no data| not determined| not applicable| not applicable| no data| JR1| not applicable| yes| 
Methanoculleus palmolei| no data| feeds| no data| feeds| do not feed on| potasium, tungsten| G. Zellner et al.; 1998; Int. J. Syst. Bacteriol.; vol. 48; p. 1111| feeds| no data| Cocci| negative| yes| feeds| Sample from a biogas reactor of a palm oil plant on North-Sumatra (Indonesia), which was operated at 55 °C.| do not feed on| no data| do not feed on| feeds| negative| 13.5| 0.051| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/48/4/1111.abstract| 50| present| 2| 2| no data| 8| do not feed on| no data| 22| 59| 1.25| 1.25| no data| 6.5| acetate| no data| no| no data| no data| 7.5| 6.9| 40| 40| no data| no data| DSM-4273| no data| not suppoting:2-pentanol, 2,3-butanodiol, lactate| G. Zellner et al.| do not feed on| not determined| yes| not applicable| no data| INSLUZ| not applicable| not applicable| 
Methanoculleus receptaculi| no data| do not feed on| do not feed on| do not feed on| do not feed on| no data| L. Cheng et al.; 2008; FEMS Microbiol. Lett.; vol. 285; p. 65| do not feed on| no data| Cocci| not determined| yes| no data| Sample of oil production water from Block L801 of Shengli oil field in China.| no data| do not feed on| do not feed on| feeds| not determined| 8.25| 0.084| feeds| not determined| not applicable| http://onlinelibrary.wiley.com/doi/10.1111/j.1574-6968.2008.01212.x/abstract;jsessionid=946F1776535B83BA32803F1CCD902330.d01t04| 65| absent| 1.7| 1.7| 1.3| 8.5| not determined| do not feed on| 30| 55.2| 0.8| 0.8| 0| 6.5| acetate| no data| no| 0.2| 0.2| 7.8| 7.5| 55| 50| CGMCC 1.5087| CGMCC 1.5087| DSM-18860| 1| no data| L. Cheng et al.| no data| not determined| not applicable| not applicable| do not feed on| ZC-2| not applicable| not applicable| 
Methanoculleus sediminis| feeds| do not feed on| do not feed on| do not feed on| do not feed on| no data| Sheng-Chung Chen et al.; 2015; Int. J. Syst. Evol. Microbiol.; vol. 65; p. 2141–2147| no data| do not feed on| Irregular cocci| no data| no data| do not feed on| It was isolated from sediments collected by Ocean Researcher I cruise ORI-934 in 2010 near the submarine mud volcano MV4 located at the upper slope of south-west Taiwan.| do not feed on| do not feed on| do not feed on| feeds| no data| 0| 0| feeds| do not feed on| not applicable| http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.000233| 0| 0| 1| 1| 0| 0| do not feed on| do not feed on| 0| 62.3| 0.5| 0.5| 0| 0| no data| no data| 0| 0.17| 0.17| 7.1| 7.1| 37| 37| no data| BCRC AR10044| 29354| no data| no data| no data| do not feed on| no data| not applicable| not applicable| do not feed on| S3Fa| yes| yes| 
Methanoculleus submarinus| no data| no data| no data| no data| do not feed on| no data| J. Mikucki et al.; 2003; Appl. Environ. Microbiol.; vol. 69; p. 3311| no data| no data| Irregular cocci| negative| yes| no data| Sample from a core (BH-1) from a depth of 247 m below the sediment surface, Nankai Trough (water depth 950 m).| no data| no data| do not feed on| feeds| negative| 6.93| 0.1| feeds| not determined| not applicable| http://aem.asm.org/content/69/6/3311.abstract| 50| 0| 2| 2| 1.7| 8.7| do not feed on| no data| 15| no data| 0.8| 0.8| 0.1| 4.8| acetate or yeast extract| no data| 0| 0.4| 0.1| 7.7| 5.1| 45| 35| OCM 780, SMCC 780W| OCM 780, SMCC 780W| DSM-15122| no data| no data| J. Mikucki et al.| no data| not determined| not applicable| not applicable| do not feed on| Nankai-1| not applicable| yes| 
Methanoculleus thermophilus| no data| no data| no data| no data| do not feed on| no data| C. Rivard et al.; 1982; Int. J. Syst. Bacteriol.; vol. 32; p. 430| no data| no data| Irregular cocci| negative| yes| no data| Sediment underlying the high-temperature effluent channel of the Crystal River Nuclear Power Plant, Florida Power Company, Crystal River, Florida.| no data| no data| do not feed on| feeds| negative| 2.5| 0.277| feeds| do not feed on| not applicable| http://ijs.sgmjournals.org/content/32/4/430.abstract| 65| absent| 1.3| 1.3| 0.7| 7.8| do not feed on| no data| 37| 59| 1| 1| 0| 6.5| Tripticase, trace element solution| no data| no| 0.2| 0.2| 7| 7| 55| 55| ATCC 33837, OCM 174,  VKM B-1841| ATCC 33837, OCM 174,  VKM B-1841| DSM-2373| no data| no data| C. Rivard et al.| no data| do not feed on| not applicable| not applicable| no data| CR-1| not applicable| yes| 
Methanofollis aquaemaris| no data| do not feed on| do not feed on| do not feed on| do not feed on| acetate, tungsten| M. Lai et al.; 2001; Int. J. Syst. Evol. Microbiol.; vol. 51; p. 1873| do not feed on| no data| Irregular cocci| negative| yes| no data| Water sample from marine aquaculture fish pond near Wong-gong, Taiwan.| do not feed on| no data| do not feed on| feeds| negative| 13| 0.053| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/51/5/1873.abstract| 43| absent| 2| 2| 1.02669404517| 8| do not feed on| no data| 20| no data| 1.2| 1.2| 0| 6.3| no data| no data| no| 0| 0| 5.6| 6.5| 37| 37| OCM 746, CCRC 16166, BCRC 16166| OCM 746, CCRC 16166, BCRC 16166| DSM-14661| no data| no data| M. Lai et al.| no data| not determined| not applicable| not applicable| do not feed on| N2F9704| not applicable| yes| 
Methanofollis ethanolicus| feeds| do not feed on| no data| do not feed on| do not feed on| yeast extract| H. Imachi et al.; 2009; Int. J. Syst. Evol. Microbiol.; vol. 59; p. 800| do not feed on| no data| Irregular cocci| negative| yes| do not feed on| Sample from lotus field mud at Nagaoka, Niigata, Japan.| do not feed on| no data| feeds| feeds| negative| 72| 0.01| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/59/4/800.abstract| 40| absent| 3| 3| 0.427789185489| 7.5| not determined| do not feed on| 15| 60.9| 2| 2| 0| 6.5| acetate | no data| no| 0| 0| 7| 7| 37| 37| JCM 15103, NBRC 104120| JCM 15103, NBRC 104120| DSM-21041| no data| not supporting: pyruvate, lactate| H. Imachi et al.| feeds| not determined| not applicable| yes| do not feed on| HASU| not applicable| not applicable| 
Methanofollis formosanus| no data| do not feed on| do not feed on| do not feed on| do not feed on| acetate, tungsten| S. Wu et al.; 2005; Int. J. Syst. Evol. Microbiol.; vol. 55; p. 837| do not feed on| no data| Irregular cocci| negative| yes| no data| Sample from a marine water aquaculture fish pond near Wang-gong, Taiwan.| do not feed on| no data| do not feed on| feeds| negative| 20| 0.035| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/55/2/837.abstract| 42| absent| 2| 2| 0.684462696783| 7.3| do not feed on| do not feed on| 20| 58.4| 1.5| 1.5| 0| 5.6| unidentified| no data| no| 0.513347022587| 0.513347022587| 6.6| 6.6| 37| 37| OCM 789| OCM 789| DSM-15483| no data| no data| S. Wu et al.| no data| not determined| not applicable| not applicable| do not feed on| N2M9704| not applicable| yes| 
Methanofollis liminatans| do not feed on| feeds| no data| feeds| do not feed on| tungsten| G. Zellner et al.; 1990; Arch. Microbiol.; vol. 153; p. 287| feeds| no data| Irregular cocci| not determined| yes| feeds| Sample of anaerobically treated waste water, obtained from a Biohochreaktor of Hoechst company (Kelsterbach, Frankfurt/ Main, FRG).| do not feed on| no data| do not feed on| feeds| not determined| 8.5| 0.082| feeds| not determined| not applicable| http://link.springer.com/article/10.1007%2FBF00249084| 45| present| 1.5| 1.5| 0.6| no data| do not feed on| no data| 20| 59.3| 1.5| 1.5| 0| no data| no data| no data| yes| 0| 0| 7| 7| 40| 40| no data| no data| DSM-4140| no data| not supporting :2-pentanol, cycloheksanol| G. Zellner et al.| do not feed on| not determined| yes| not applicable| no data| GKZPZ| not applicable| not applicable| 
Methanofollis tationis| no data| no data| no data| no data| do not feed on| no data| H. Zabel et al.; 1984; Arch. Microbiol.; vol. 37; p. 308| no data| no data| Irregular cocci| negative| yes| no data| Mud samples from a small (Atacama desert in Northern Chile close to the oasis of San Petro di Atacama on Mount Tatio at an altitude of 4750 m).| do not feed on| no data| do not feed on| feeds| negative| 12| 0.058| feeds| not determined| not applicable| http://link.springer.com/article/10.1007%2FBF00410727| 45| present| 3| 3| 1| 8.8| do not feed on| no data| 25| 54| 3| 3| 0| 6.3| acetate, yeast extract, peptone, heavy metal solution| no data| nd| 0| 0| 7| 7| 40| 37| ATCC BAA-1078, OCM 159, BCRC 16169, CCRC 16169| ATCC BAA-1078, OCM 159, BCRC 16169, CCRC 16169| DSM-2702| no data| not supporting: ethyl acetate| H. Zabel et al.| no data| not determined| not applicable| not applicable| do not feed on| DSM 2702| yes| not applicable| 
Methanogenium boonei| do not feed on| do not feed on| no data| do not feed on| do not feed on| no data| M. Kendall et al.; 2007; Appl. Environ. Microbiol.; vol. 73; p. 407| do not feed on| no data| Irregular cocci| negative| yes| no data| Sample of sediments of Skan Bay (depth 65 m), Alaska (53°N, 167°W).| no data| no data| do not feed on| feeds| negative| no data| no data| feeds| not determined| not applicable| http://aem.asm.org/content/73/2/407.abstract| 25.6| absent| 2.5| 2.5| 0.8| 7.8| do not feed on| no data| 5| 49.7| 1| 1| 0.1| 6.4| acetate, yeast extract| no data| no| 0.5| 0.3| no data| no data| 19.4| 19.4| no data| no data| DSM-17338| no data| no data| M. Kendall et al.| do not feed on| not determined| not applicable| not applicable| no data| AK 7| not applicable| yes| 
Methanogenium cariaci| no data| no data| no data| no data| do not feed on| no data| J. Romesser et al.; 1979; Arch. Microbiol.; vol. 121; p. 147| no data| no data| Irregular cocci| negative| yes| no data| Sediment collected at station 2030 on R. V. Atlantis II cruise 79 in the Cariaco Trench.| no data| no data| no data| feeds| negative| 11| 0.063| feeds| not determined| not applicable| http://link.springer.com/article/10.1007%2FBF00689979| 35| present| 2.6| 2.6| 0.69| 7.5| do not feed on| no data| 15| 52| 2.6| 2.6| 0.23| 6| yeast extract, acetate, | H. Zabel et al.;  1984; Arch. Microbiol.; vol. 37; p. 308| no| 0.46| 0.46| 7.2| 6.8| 25| 20| ATCC 35093, JCM 10550, OCM 49,  OCM 155| ATCC 35093, JCM 10550, OCM 49,  OCM 155| DSM-1497| no data| no data| J. Romesser et al.| no data| not determined| not applicable| not applicable| no data| JR1| not applicable| yes| 
Methanogenium frigidum| no data| no data| no data| no data| do not feed on| yeast extract, peptone| P. Franzmann et al.; 1997; Int. J. Syst. Bacteriol.; vol. 47; p. 1068| no data| no data| Irregular cocci| negative| yes| no data| Sample of sediment from Ace Lake (68°24' S, 78°11' E)  in the Vestfold Hills of Antarctica.| no data| no data| no data| feeds| negative| 70| 0.01| feeds| do not feed on| not applicable| http://ijs.sgmjournals.org/content/47/4/1068.abstract| 17| absent| 2.5| 2.5| 0.6| 8| do not feed on| no data| 0| no data| 1.2| 1.2| 0.35| 6.3| acetate| no data| no| no data| no data| 7.9| 7.5| 15| 15| OCM 469, SMCC 459W| OCM 469, SMCC 459W| DSM-16458| no data| no data| P. Franzmann et al.| no data| do not feed on| not applicable| not applicable| do not feed on| Ace-2| not applicable| yes| 
Methanogenium marinum| no data| do not feed on| do not feed on| do not feed on| do not feed on| no data| S. Chong et al.; 2002; Antonie Van Leeuwenhoek; vol. 81; p. 263| do not feed on| no data| Irregular cocci| negative| yes| no data| Sample of sediments of Skan Bay, Alaska (53°N, 167°W).| no data| no data| do not feed on| feeds| negative| 33| 0.021| feeds| do not feed on| not applicable| http://link.springer.com/article/10.1023/A%3A1020535222281| 25| present| 1.2| 1.2| 1.25| 7.7| do not feed on| no data| 5| no data| 1| 1| 0.25| 5.5| acetate, thiamine, riboflavin, vitamin B12, peptones| no data| no| 1.1| 0.4| 6.6| 6| 25| 25| OCM 752| OCM 752| DSM-15558| no data| no data| S. Chong et al.| no data| do not feed on| not applicable| not applicable| do not feed on| AK-1| not applicable| yes| 
Methanogenium organophilum| no data| feeds| no data| feeds| do not feed on| no data| F. Widdel et al.; 1988; Arch. Microbiol.; vol. 150; p. 477| feeds| no data| Irregular cocci| not determined| yes| no data| Sediment sample from a deep sea hydrothermal area (-2003 Im) at Guaymas Basin (Baja California).| no data| no data| feeds| feeds| not determined| 6| 0.116| feeds| not determined| not applicable| http://link.springer.com/article/10.1007%2FBF00422290| 39| not determined| 1.5| 1.5| no data| no data| do not feed on| no data| 30| 46.7| 0.5| 0.5| no data| no data| acetate/ethanol, aminobenzoate, biotin, B12, tungsten| no data| no| 0| 0.342231348392| 7.3| 6.4| 35| 30| ATCC BAA-914, OCM 72| ATCC BAA-914, OCM 72| DSM-3596| no data| no data| F. Widdel et al.| no data| not determined| not applicable| not applicable| no data| CV| not applicable| yes| 
Methanohalobium evestigatum| no data| no data| no data| no data| no data| no data| T. Zhilina et al.; 1987; Dokl. Akad. Nauk SSSR; vol. 293; p. 464| no data| no data| Cocci| not determined| yes| no data| Sample of sediments of saline lagoons in Sivash.| no data| no data| no data| no data| not determined| no data| no data| no data| not determined| not applicable| http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2322&lvl=3&lin=f&keep=1&srchmode=1&unlock| no data| unavailable| no data| no data| no data| no data| not determined| no data| no data| no data| no data| no data| no data| no data| no data| no data| unavailable| no data| no data| no data| no data| 0| 0| ATCC BAA-1072, OCM 161, VKM Z-7303, Z-7303| ATCC BAA-1072, OCM 161, VKM Z-7303, Z-7303| DSM-3721| no data| no data| T. Zhilina et al.| no data| not determined| not applicable| not applicable| no data| Z-7303| not applicable| not applicable| 
Methanohalophilus euhalobius| no data| no data| no data| no data| do not feed on| no data| I. Davidova et al.; 1987; Antonie Van Leeuwenhoek; vol. 71; p. 313| no data| no data| Irregular cocci| negative| yes| no data| Mineralized stratal waters of oil deposits (Tataria, Russia).| feeds| no data| no data| do not feed on| negative| no data| no data| do not feed on| not determined| not applicable| http://link.springer.com/article/10.1023/A%3A1000103618451| 50| no data| 2.5| 1| 2.3| 8| feeds| feeds| 15| 43| 2.5| 1| 0.16| 5.8| biotin| no data| no data| 1| 1| 7.3| 6.8| 37| 28| no data| no data| DSM-10369| no data| no data| I. Davidova et al.| no data| not determined| not applicable| yes| feeds| 283| not applicable| not applicable| 
Methanohalophilus halophilus| no data| do not feed on| do not feed on| do not feed on| do not feed on| no data| T. Zhilina et al.; 1984; Mikrobiologiya; vol. 52; p. 375| do not feed on| no data| Irregular cocci| not determined| yes| no data| Sample from marine cyanobacterial mat.| feeds| no data| no data| do not feed on| not determined| no data| no data| do not feed on| not determined| not applicable| http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=2177&lvl=3&lin=f&keep=1&srchmode=1&unlock| 40| unavailable| 2| 0.5| 3.5| 8| not determined| feeds| 18| 44| 2| 0.2| 0.3| 6.3| no data| T. Wilharm et al.; 1991; Int. J. Syst. Evol. Microbiol.; vol. 41; p. 558| unavailable| 2.5| 0.6| 7.4| 6.5| 36| 26| ATCC BAA-1071, OCM 160, INMI Z-7982, VKM Z-7982, Z-7982| ATCC BAA-1071, OCM 160, INMI Z-7982, VKM Z-7982, Z-7982| DSM-3094| no data| no data| T. Zhilina et al.| no data| not determined| not applicable| yes| feeds| Z-7982| not applicable| not applicable| 
Methanohalophilus levihalophilus| not determined| not determined| not determined| not determined| do not feed on| no data| T. Katayama et al.; 2014; Int. J. Syst. Evol. Microbiol.; in press| no data| not determined| Irregular cocci| negative| yes| not determined| Sample from natural gas-bearing confined aquifers recharged by paleo-seawater in the Minami-Kanto gas field, Japan.| feeds| do not feed on| not determined| do not feed on| negative| 18| 0.039| do not feed on| not determined| not applicable| http://ijs.sgmjournals.org/content/early/2014/03/26/ijs.0.063677-0.abstract| 40| not determined| 1| 1| 1.3| 8.3| do not feed on| not determined| 20| 43.7| 0.7| 0.7| 0.2| 6.2| no data| no data| no| 0.4| 0.35| 7.5| 7| 35| 35| NBRC 110099| NBRC 110099| DSM 28452| no data| no data| T. Katayama et al.| not determined| not determined| not applicable| not applicable| not determined| GTA13| not applicable| not applicable| 
Methanohalophilus mahii| no data| no data| no data| no data| do not feed on| no data| J. Paterek et al.; 1988; Int. J. Syst. Bacteriol.; vol. 38; p. 122| no data| no data| Irregular cocci| negative| yes| no data| Sample from the sediments of Great Salt Lake in Utah (thermal lake).| feeds| no data| no data| do not feed on| negative| no data| no data| do not feed on| not determined| not applicable| http://ijs.sgmjournals.org/content/38/1/122.abstract| 45| not determined| 1.8| 0.8| 3.5| no data| feeds| feeds| no data| 48.5| 1.8| 0.8| 0.5| no data| no data| no data| no| 2.5| 2| 7.5| 7.5| 37| 35| ATCC 35705, OCM 68| ATCC 35705, OCM 68| DSM-5219| no data| no data| J. Paterek et al.| no data| not determined| not applicable| yes| feeds| SLP| not applicable| not applicable| 
Methanohalophilus portucalensis| no data| no data| no data| no data| do not feed on| no data| D. Boone et al.; 1993; Int. J. Syst. Bacteriol.; vol. 43; p. 430| no data| no data| Irregular cocci| negative| yes| no data| Sample of sediments from a salinarium in Figiera da Foz, Portugal.| feeds| do not feed on| no data| do not feed on| negative| 5| 0.14| do not feed on| not determined| not applicable| http://ijs.sgmjournals.org/content/43/3/430.abstract| 48| not determined| 2| 0.6| 3.5| 8.4| feeds| feeds| 25| 43| 2| 0.6| 0.9| 6| no data| no data| no| 2| 0.5| 7.5| 6.5| 40| 40| ATCC BAA-912, OCM 59| ATCC BAA-912, OCM 59| DSM-7471| no data| no data| D. Boone et al.| no data| not determined| not applicable| yes| feeds| FDF-1| not applicable| not applicable| 
Methanolacinia paynteri| no data| no data| no data| no data| do not feed on| no data| C. Rivard et al.; 1983; Appl. Environ. Microbiol.; vol. 46; p. 484| no data| no data| Rod| negative| yes| no data| Sediments cores taken along the edges of the mosquito control canals within mangrove swamps located southeast of Georgetown, Grand Cayman, British West Indies.| do not feed on| no data| do not feed on| do not feed on| negative| 4.8| 0.144| feeds| not determined| not applicable| http://aem.asm.org/content/46/2/484.abstract| 42| absent| 2.5| 0.6| 0.4| 7.3| do not feed on| do not feed on| 25| 44.9| 1.5| 0.6| 0| 6.6| acetate| no data| no| 0.15| 0.15| 7| 7| 40| 40| ATCC 33997, OCM 124| ATCC 33997, OCM 124| DSM-2545| no data| no data| C. Rivard et al.| no data| not determined| not applicable| not applicable| do not feed on| G-2000| not applicable| yes| 
Methanolinea mesophila| no data| no data| no data| no data| no data| no data| S. Sakai et al.; 2012; Int. J. Syst. Evol. Microbiol.; vol. 62; p. 1389| no data| no data| Rod| not determined| yes| no data| Sample from rice field soil in Tainan, Taiwan.| no data| no data| no data| feeds| not determined| 29| 0.024| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/62/Pt_6/1389.abstract| 40| not determined| 6.5| 0.3| 0.427789185489| 7.4| do not feed on| no data| 20| 56.4| 2| 0.3| 0| 6.5| no data| no data| no| 0| 0| 7| 7| 37| 37| NBRC 105659| NBRC 105659| DSM-23604| no data| no data| S. Sakai et al.| no data| not determined| not applicable| yes| no data| TNR| not applicable| not applicable| 
Methanolinea tarda| do not feed on| do not feed on| no data| do not feed on| do not feed on| no data| H. Imachi et al.; 2008; Int. J. Syst. Evol. Microbiol.; vol. 58; p. 294| do not feed on| no data| Rod| negative| yes| do not feed on| Sample from a mesophilic, methanogenic sludge digesting sewage sludge.| do not feed on| no data| do not feed on| feeds| negative| 98| 0.007| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/58/1/294.abstract| 55| not determined| 2| 1| 0.256673511294| 8| do not feed on| do not feed on| 35| 56.3| 2| 0.7| 0| 6.5| acetate, yeast extract| no data| no| 0| 0| 7| 7| 50| 50| JCM 12467, NBRC 102358| JCM 12467, NBRC 102358| DSM-16494| no data| not supporting: pyruvate, lactate| H. Imachi et al.| do not feed on| not determined| yes| not applicable| do not feed on| NOBi-1| not applicable| not applicable| 
Methanolobus bombayensis| no data| no data| no data| no data| do not feed on| yeast extract,peptones | P. Kadam et al.; 1994; Int. J. Syst. Bacteriol.; vol. 44; p. 603| no data| no data| Irregular cocci| negative| yes| no data| Sample isolated from Arabian Sea sediments obtained near Bombay, India.| feeds| feeds| no data| do not feed on| negative| 4.5| 0.156| do not feed on| not determined| not applicable| http://ijs.sgmjournals.org/content/44/4/603.abstract| 40| absent| 1.5| 1| 2| 8| feeds| feeds| 22| 39.2| 1.5| 1| 0.3| 6.5| -1| no data| no| 0.5| 0.5| 7.2| 7.2| 37| 37| OCM 438 | OCM 438 | DSM-7082| no data| no data| P. Kadam et al.| no data| not determined| not applicable| yes| feeds| MCM B706| not applicable| not applicable| 
Methanolobus oregonensis| no data| no data| no data| no data| do not feed on| no data| Y. Liu et al.; 1990; Int. J. Syst. Bacteriol.; vol. 40; p. 111| no data| no data| Irregular cocci| positive| yes| no data| Sample from a slurry of subsurface solids from a saline, alkaline aquifer (West Alkali Lake, south central Oregon).| no data| feeds| no data| do not feed on| positive| 6.9| 0.1| do not feed on| not determined| not applicable| http://ijs.sgmjournals.org/content/40/2/111.abstract| 45| absent| 1.5| 1| 1.6| 9.4| feeds| no data| 10| 40.9| 1.5| 1| 0.1| 7.6| biotin, thiamine| no data| no| 0.48| 0.48| 9.2| 8.2| 37| 35| ATCC BAA-928, OCM 99, OGI 99| ATCC BAA-928, OCM 99, OGI 99| DSM-5435| no data| no data| Y. Liu et al.| no data| not determined| not applicable| yes| feeds| WAL1| not applicable| not applicable| 
Methanolobus profundi| no data| feeds| no data| no data| do not feed on| no data| H. Mochimaru et al.; 2009; Int. J. Syst. Evol. Microbiol.; vol. 59; p. 714| no data| no data| Irregular cocci| negative| yes| no data| Sample from deep subsurface sediments from a natural gas field filled with ancient seawater (Mobara, Japan).| feeds| do not feed on| do not feed on| do not feed on| negative| 5| 0.139| do not feed on| not determined| not applicable| http://ijs.sgmjournals.org/content/59/4/714.abstract| 37| present| 1.2| 0.9| 1| 7.8| feeds| feeds| 9| 42.4| 1.2| 0.9| 0.1| 6.1| -1| no data| yes| 0.35| 0.35| 6.6| 6.5| 30| 30| NBRC 104158| no data| DSM-21213| no data| no data| H. Mochimaru et al.| no data| not determined| not applicable| yes| feeds| MobM| not applicable| not applicable| 
Methanolobus psychrophilus| no data| no data| no data| no data| do not feed on| no data| G. Zhang et al.; 2008; Appl. Environ. Microbiol.; vol. 74; p. 6114| no data| no data| Cocci| no data| no data| no data| no data| feeds| feeds| no data| do not feed on| not determined| 15.873015873| 0.063| do not feed on| not determined| yes| http://aem.asm.org/content/74/19/6114.long| 25| present| 1.2| 1| 0.8| 8| feeds| feeds| 0| 44.9| 1| 0.9| 0.005| 6| biotin| no data| nd| 0.25| 0.2| 7.2| 7| 18| 18| no data| JCM 14818, CGMCC 1.5060| no data| no data| no data| no data| no data| not determined| not applicable| not applicable| feeds| R15| not applicable| not applicable| 
Methanolobus taylorii| no data| no data| no data| no data| do not feed on| no data| R. Oremland et al.; 1989; Appl. Environ. Microbiol.; vol. 55; p. 994| no data| no data| Cocci| negative| yes| no data| Smple of estuarine sediments from San Francisco Bay.| feeds| feeds| no data| do not feed on| negative| 6| 0.116| do not feed on| not determined| not applicable| http://ijs.sgmjournals.org/content/44/3/573.abstract| 45| not determined| 0.5| 0.5| 1.2| 9.2| feeds| feeds| 5| 40.8| 0.5| 0.5| 0.05| 5.7| biotin| no data| no| 0.6| 0.4| 8.7| 7| 37| 29| ATCC BAA-911, OCM 58| ATCC BAA-911, OCM 58| DSM-9005| no data| no data| R. Oremland et al.| no data| not determined| not applicable| not applicable| feeds| GS-16| not applicable| not applicable| 
Methanolobus tindarius| no data| feeds| no data| no data| do not feed on| no data| H. Konig et al.; 1982; Zentralbl. Bakteriol. Mikrobiol. Hyg. [B]; vol. 3; p. 478| no data| no data| Cocci| not determined| yes| no data| A marine, mesophilic.| feeds| feeds| no data| do not feed on| not determined| no data| no data| do not feed on| not determined| not applicable| http://www.sciencedirect.com/science/article/pii/S0721957182800057| 50| unavailable| 1.25| 0.8| 1.27| 8| feeds| feeds| 7| 45.9| 1.25| 0.8| 0.06| 5.5| -1| no data| unavailable| 0.47| 0.47| 6.5| 6.5| 28| 28| ATCC 35996, OCM 150| ATCC 35996, OCM 150| DSM-2278| no data| no data| H. Konig et al.| no data| not determined| not applicable| not applicable| feeds| Tindari 3| not applicable| not applicable| 
